,Gender Inequality Index,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Gender Inequality Index,,,,,,,,,
,,Value,,Rank,,,,,,,
HDI rank,Country,,,,,,,,,,
,,2023,,2023,,,,,,,
,,,,,,,,,,,
1,Iceland,0.024,,7,,,,,,,
2,Norway,0.004,,2,,,,,,,
2,Switzerland,0.010,,4,,,,,,,
4,Denmark,0.003,,1,,,,,,,
5,Germany,0.057,,21,,,,,,,
5,Sweden,0.007,,3,,,,,,,
7,Australia,0.056,,20,,,,,,,
8,"Hong Kong, China (SAR)",..,,..,,,,,,,
8,Netherlands,0.013,,5,,,,,,,
10,Belgium,0.031,,8,,,,,,,
11,Ireland,0.054,,19,,,,,,,
12,Finland,0.021,,6,,,,,,,
13,Singapore,0.031,,8,,,,,,,
13,United Kingdom,0.083,,31,,,,,,,
15,United Arab Emirates,0.040,,13,,,,,,,
16,Canada,0.052,,18,,,,,,,
17,Liechtenstein,..,,..,,,,,,,
17,New Zealand,0.082,,30,,,,,,,
17,United States,0.169,,45,,,,,,,
20,Korea (Republic of),0.038,,12,,,,,,,
21,Slovenia,0.042,,14,,,,,,,
22,Austria,0.033,,10,,,,,,,
23,Japan,0.059,,22,,,,,,,
24,Malta,0.111,,36,,,,,,,
25,Luxembourg,0.044,,17,,,,,,,
26,France,0.034,,11,,,,,,,
27,Israel,0.080,,27,,,,,,,
28,Spain,0.043,,15,,,,,,,
29,Czechia,0.088,,32,,,,,,,
29,Italy,0.043,,15,,,,,,,
29,San Marino,..,,..,,,,,,,
32,Andorra,..,,..,,,,,,,
32,Cyprus,0.252,,64,,,,,,,
34,Greece,0.103,,34,,,,,,,
35,Poland,0.081,,29,,,,,,,
36,Estonia,0.061,,23,,,,,,,
37,Saudi Arabia,0.228,,61,,,,,,,
38,Bahrain,0.165,,44,,,,,,,
39,Lithuania,0.070,,24,,,,,,,
40,Portugal,0.076,,26,,,,,,,
41,Croatia,0.074,,25,,,,,,,
41,Latvia,0.117,,38,,,,,,,
43,Qatar,0.195,,52,,,,,,,
44,Slovakia,0.176,,48,,,,,,,
45,Chile,0.102,,33,,,,,,,
46,Hungary,0.213,,54,,,,,,,
47,Argentina,0.264,,70,,,,,,,
48,Montenegro,0.121,,40,,,,,,,
48,Uruguay,0.218,,56,,,,,,,
50,Oman,0.222,,57,,,,,,,
51,Türkiye,0.227,,59,,,,,,,
52,Kuwait,0.188,,51,,,,,,,
53,Antigua and Barbuda,0.240,,63,,,,,,,
54,Seychelles,..,,..,,,,,,,
55,Bulgaria,0.208,,53,,,,,,,
55,Romania,0.227,,59,,,,,,,
57,Georgia,0.257,,66,,,,,,,
58,Saint Kitts and Nevis,..,,..,,,,,,,
59,Panama,0.374,,94,,,,,,,
60,Brunei Darussalam,0.257,,66,,,,,,,
60,Kazakhstan,0.182,,50,,,,,,,
62,Costa Rica,0.217,,55,,,,,,,
62,Serbia,0.117,,38,,,,,,,
64,Russian Federation,0.169,,45,,,,,,,
65,Belarus,0.080,,27,,,,,,,
66,Bahamas,0.325,,81,,,,,,,
67,Malaysia,0.172,,47,,,,,,,
68,North Macedonia,0.112,,37,,,,,,,
69,Armenia,0.180,,49,,,,,,,
69,Barbados,0.297,,76,,,,,,,
71,Albania,0.107,,35,,,,,,,
72,Trinidad and Tobago,0.262,,69,,,,,,,
73,Mauritius,0.352,,87,,,,,,,
74,Bosnia and Herzegovina,0.157,,43,,,,,,,
,High human development,,,,,,,,,,
75,Iran (Islamic Republic of),0.482,,123,,,,,,,
76,Saint Vincent and the Grenadines,..,,..,,,,,,,
76,Thailand,0.288,,73,,,,,,,
78,China,0.132,,41,,,,,,,
79,Peru,0.340,,83,,,,,,,
80,Grenada,0.226,,58,,,,,,,
81,Azerbaijan,0.315,,80,,,,,,,
81,Mexico,0.358,,88,,,,,,,
83,Colombia,0.393,,98,,,,,,,
84,Brazil,0.390,,96,,,,,,,
84,Palau,..,,..,,,,,,,
86,Moldova (Republic of),0.146,,42,,,,,,,
87,Ukraine,..,,..,,,,,,,
88,Ecuador,0.358,,88,,,,,,,
89,Dominican Republic,0.417,,106,,,,,,,
89,Guyana,0.427,,109,,,,,,,
89,Sri Lanka,0.367,,93,,,,,,,
92,Tonga,0.444,,115,,,,,,,
93,Maldives,0.309,,79,,,,,,,
93,Viet Nam,0.299,,78,,,,,,,
95,Turkmenistan,..,,..,,,,,,,
96,Algeria,0.443,,114,,,,,,,
97,Cuba,0.296,,75,,,,,,,
98,Dominica,..,,..,,,,,,,
99,Paraguay,0.412,,104,,,,,,,
100,Egypt,0.398,,101,,,,,,,
100,Jordan,0.433,,111,,,,,,,
102,Lebanon,0.360,,91,,,,,,,
103,Saint Lucia,0.327,,82,,,,,,,
104,Mongolia,0.284,,72,,,,,,,
105,Tunisia,0.238,,62,,,,,,,
106,South Africa,0.388,,95,,,,,,,h
107,Uzbekistan,0.291,,74,,,,,,,
108,Bolivia (Plurinational State of),0.419,,107,,,,,,,
108,Gabon,0.505,,135,,,,,,,
108,Marshall Islands,..,,..,,,,,,,
111,Botswana,0.490,,127,,,,,,,
111,Fiji,0.350,,85,,,,,,,
113,Indonesia,0.423,,108,,,,,,,
114,Suriname,0.391,,97,,,,,,,
115,Belize,0.428,,110,,,,,,,
115,Libya,0.253,,65,,,,,,,
117,Jamaica,0.358,,88,,,,,,,
117,Kyrgyzstan,0.340,,83,,,,,,,
117,Philippines,0.351,,86,,,,,,,
120,Morocco,0.438,,113,,,,,,,
121,Venezuela (Bolivarian Republic of),0.512,,137,,,,,,,l
122,Samoa,0.416,,105,,,,,,,
123,Nicaragua,0.408,,103,,,,,,,
124,Nauru,..,,..,,,,,,,
,Medium human development,,,,,,,,,,
125,Bhutan,0.278,,71,,,,,,,
126,Eswatini (Kingdom of),0.484,,124,,,,,,,
126,Iraq,0.558,,148,,,,,,,
128,Tajikistan,0.258,,68,,,,,,,
129,Tuvalu,..,,..,,,,,,,
130,Bangladesh,0.487,,125,,,,,,,
130,India,0.403,,102,,,,,,,
132,El Salvador,0.362,,92,,,,,,,
133,Equatorial Guinea,..,,..,,,,,,,
133,"Palestine, State of",..,,..,,,,,,,
135,Cabo Verde,0.298,,77,,,,,,,
136,Namibia,0.448,,116,,,,,,,
137,Guatemala,0.480,,121,,,,,,,
138,Congo,0.565,,151,,,,,,,
139,Honduras,0.437,,112,,,,,,,
140,Kiribati,..,,..,,,,,,,
141,Sao Tome and Principe,0.492,,130,,,,,,,
142,Timor-Leste,0.394,,99,,,,,,,
143,Ghana,0.514,,138,,,,,,,
143,Kenya,0.526,,143,,,,,,,
145,Nepal,0.487,,125,,,,,,,
146,Vanuatu,0.556,,147,,,,,,,
147,Lao People's Democratic Republic,0.475,,117,,,,,,,
148,Angola,0.515,,139,,,,,,,
149,Micronesia (Federated States of),..,,..,,,,,,,
150,Myanmar,0.478,,118,,,,,,,l
151,Cambodia,0.506,,136,,,,,,,
152,Comoros,0.501,,132,,,,,,,
153,Zimbabwe,0.519,,140,,,,,,,
154,Zambia,0.524,,141,,,,,,,
155,Cameroon,0.558,,148,,,,,,,
156,Solomon Islands,0.478,,118,,,,,,,
157,Côte d'Ivoire,0.589,,159,,,,,,,
157,Uganda,0.524,,141,,,,,,,
159,Rwanda,0.394,,99,,,,,,,
160,Papua New Guinea,0.584,,156,,,,,,,
161,Togo,0.564,,150,,,,,,,
162,Syrian Arab Republic,0.490,,127,,,,,,,
163,Mauritania,0.603,,161,,,,,,,
164,Nigeria,0.677,,171,,,,,,,
165,Tanzania (United Republic of),0.504,,134,,,,,,,
166,Haiti,0.618,,165,,,,,,,p
